gender,age_group,Calcification_Level,avg_calcification
Male,29,None,0
Male,30-39,None,0
Female,30-39,None,0
Male,30-39,Moderate,2
Female,40-49,None,0
Male,40-49,None,0
Female,40-49,Minimal,1
Male,40-49,Minimal,1
Male,40-49,Moderate,2
Male,40-49,Severe,3
Male,50-59,None,0
Female,50-59,None,0
Male,50-59,Minimal,1
Female,50-59,Minimal,1
Male,50-59,Moderate,2
Female,50-59,Moderate,2
Male,50-59,Severe,3
Male,60-69,None,0
Female,60-69,None,0
Male,60-69,Minimal,1
Female,60-69,Minimal,1
Male,60-69,Moderate,2
Female,60-69,Moderate,2
Male,60-69,Severe,3
Female,60-69,Severe,3
Male,70-77,None,0
Female,70-77,None,0
Female,70-77,Minimal,1
Male,70-77,Minimal,1
Female,70-77,Moderate,2
Male,70-77,Severe,3
